Common,Scientific,Type,Abundance,Category,Abbreviation
Water Rail,Rallus aquaticus,"Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Territories",WA,WATRA
Corncrake,Crex crex,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Males",CE,CORNC
Little Crake,Porzana parva,Accidental,10 - 100 Records,JC,LITCR
Baillon’s Crake,Porzana pusilla,"Occasional Breeder, Accidental",10 - 100 Records,VC,BAICR
Spotted Crake,Porzana porzana,"Scarce Breeder, Passage Visitor",10 - 100 Males,AK,SPOCR
Sora,Porzana carolina,Accidental,10 - 100 Records,JR,SORA.
Western Swamphen,Porphyrio porphyrio,Accidental,1-10 Records,,PURSW
Allen’s Gallinule,Porphyrio alleni,Accidental,1-10 Records,,ALLGA
American Purple Gallinule,Porphyrio martinica,Accidental,1-10 Records,,AMPGA
Moorhen,Gallinula chloropus,"Resident Breeder, Winter Visitor","100,000 - 500,000 Territories",MH,MOORH
Coot,Fulica atra,"Resident Breeder, Winter Visitor","10,000 - 100,000 Pairs",CO,COOT.
American Coot,Fulica americana,Accidental,1-10 Records,AO,AMECO
Sandhill Crane,Antigone canadensis,Accidental,1-10 Records,,SANCR
Crane,Grus grus,"Resident/Re-introduced Breeder, Passage Visitor",10 - 100 Pairs,AN,CRANE
Little Grebe,Tachybaptus ruficollis,"Migrant/Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs",LG,LITGR
Pied-billed Grebe,Podilymbus podiceps,Accidental,10 - 100 Records,PJ,PIBGR
Red-necked Grebe,Podiceps grisegena,"Scarce Breeder, Winter Visitor",10 - 100 Birds,RX,RENGR
Great Crested Grebe,Podiceps cristatus,"Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs",GG,GRCGR
Slavonian Grebe,Podiceps auritus,"Resident Breeder, Winter Visitor",10 - 100 Pairs,SZ,SLAGR
Black-necked Grebe,Podiceps nigricollis,"Migrant/Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,BN,BLNGR
Stone-curlew,Burhinus oedicnemus,Migrant Breeder,100-500 Pairs,TN,STOCU
Oystercatcher,Haematopus ostralegus,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs",OC,OYSTE
Black-winged Stilt,Himantopus himantopus,"Scarce Visitor, Has Bred",100-500 Records,IT,BLWST
Avocet,Recurvirostra avosetta,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",AV,AVOCE
Lapwing,Vanellus vanellus,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs",L.,LAPWI
Sociable Lapwing,Vanellus gregarius,Accidental,10 - 100 Records,IP,SOCPL
White-tailed Lapwing,Vanellus leucurus,Accidental,1-10 Records,,WHTPL
Golden Plover,Pluvialis apricaria,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",GP,GOLPL
Pacific Golden Plover,Pluvialis fulva,Accidental,10 - 100 Records,IF,PAGPL
American Golden Plover,Pluvialis dominica,Scarce Visitor,10 - 100 Birds,ID,AMGPL
Grey Plover,Pluvialis squatarola,Passage/Winter Visitor,"10,000 - 100,000 Birds",GV,GREPL
Ringed Plover,Charadrius hiaticula,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",RP,RINPL
Semipalmated Plover,Charadrius semipalmatus,Accidental,1-10 Records,TV,SEMPL
Little Ringed Plover,Charadrius dubius,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs",LP,LIRPL
Killdeer,Charadrius vociferus,Accidental,10 - 100 Records,KL,KILLD
Kentish Plover,Charadrius alexandrinus,"Former Breeder, Scarce Visitor",10 - 100 Birds,KP,KENPL
Lesser Sand Plover,Charadrius mongolus,Accidental,1-10 Records,DQ,
Greater Sand Plover,Charadrius leschenaultii,Accidental,10 - 100 Records,DP,GRSPL
Caspian Plover,Charadrius asiaticus,Accidental,1-10 Records,,CASPL
Dotterel,Charadrius morinellus,"Migrant Breeder, Passage Visitor",500 - 1000 Males,DO,DOTTE
Upland Sandpiper,Bartramia longicauda,Accidental,10 - 100 Records,UP,UPLSA
Whimbrel,Numenius phaeopus,"Migrant Breeder, Passage Visitor",500 - 1000 Pairs,WM,WHIMB
Little Curlew,Numenius minutus,Accidental,1-10 Records,,LITWH
Eskimo Curlew,Numenius borealis,"Extinct (1963), Last Record 1887",,,ESKCU
Curlew,Numenius arquata,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",CU,CURLE
Bar-tailed Godwit,Limosa lapponica,Passage/Winter Visitor,"10,000 - 100,000 Birds",BA,BATGO
Black-tailed Godwit,Limosa limosa,"Migrant Breeder, Passage/Winter Visitor",100-500 Pairs,BW,BLTGO
Hudsonian Godwit,Limosa haemastica,Accidental,1-10 Records,HU,HUDGO
Turnstone,Arenaria interpres,"Scarce Breeder, Passage/Winter Visitor","10,000 - 100,000 Birds",TT,TURNS
Great Knot,Calidris tenuirostris,Accidental,1-10 Records,KO,
Knot,Calidris canutus,Passage/Winter Visitor,"100,000 - 500,000 Birds",KN,KNOT.
Ruff,Calidris pugnax,"Scarce Breeder, Passage/Winter Visitor",500 - 1000 Birds,RU,RUFF.
Broad-billed Sandpiper,Calidris falcinellus,Accidental,100-500 Records,OA,BRBSA
Sharp-tailed Sandpiper,Calidris acuminata,Accidental,10 - 100 Records,VV,SHTSA
Stilt Sandpiper,Calidris himantopus,Accidental,10 - 100 Records,MI,STISA
Curlew Sandpiper,Calidris ferruginea,Passage Visitor,500 - 1000 Birds,CV,CURSA
Temminck’s Stint,Calidris temminckii,"Scarce Breeder, Passage Visitor",100-500 Birds,TK,TEMST
Long-toed Stint,Calidris subminuta,Accidental,1-10 Records,,LOTST
Red-necked Stint,Calidris ruficollis,Accidental,1-10 Records,,
Sanderling,Calidris alba,Passage/Winter Visitor,"10,000 - 100,000 Birds",SS,SANDE
Dunlin,Calidris alpina,"Migrant Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",DN,DUNLI
Purple Sandpiper,Calidris maritima,"Scarce Breeder, Passage/Winter Visitor","1,000 - 10,000 Birds",PS,PURSA
Baird’s Sandpiper,Calidris bairdii,Accidental,100-500 Records,BP,BAISA
Little Stint,Calidris minuta,Passage Visitor,500 - 1000 Birds,LX,LITST
Least Sandpiper,Calidris minutilla,Accidental,10 - 100 Records,EP,LEASA
White-rumped Sandpiper,Calidris fuscicollis,Scarce Visitor,10 - 100 Birds,WU,WHRSA
Buff-breasted Sandpiper,Calidris subruficollis,Scarce Visitor,10 - 100 Birds,BQ,BUBSA
Pectoral Sandpiper,Calidris melanotos,"Scarce Visitor, Has probably bred",100-500 Birds,PP,PECSA
Semipalmated Sandpiper,Calidris pusilla,Scarce Visitor,100-500 Records,PZ,SEMSA
Western Sandpiper,Calidris mauri,Accidental,1-10 Records,ER,WESSA
Long-billed Dowitcher,Limnodromus scolopaceus,Accidental,100-500 Records,LD,LOBDO
Short-billed Dowitcher,Limnodromus griseus,Accidental,1-10 Records,,SHBDO
Woodcock,Scolopax rusticola,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Males",WK,WOODC
Jack Snipe,Lymnocryptes minimus,Passage/Winter Visitor,"100,000 - 500,000 Birds",JS,JACSN
Great Snipe,Gallinago media,Accidental,100-500 Records,DS,GRESN
Snipe,Gallinago gallinago,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",SN,SNIPE
Wilson's Snipe,Gallinago delicata,Accidental,1-10 Records,,
Terek Sandpiper,Xenus cinereus,Accidental,10 - 100 Records,TR,TERSA
Wilson’s Phalarope,Phalaropus tricolor,Accidental,100-500 Records,WF,WILPH
Red-necked Phalarope,Phalaropus lobatus,"Migrant Breeder, Passage Visitor",10 - 100 Males,NK,RENPH
Grey Phalarope,Phalaropus fulicarius,Passage Visitor,100-500 Birds,PL,GREPH
Common Sandpiper,Actitis hypoleucos,"Migrant Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",CS,COMSA
Spotted Sandpiper,Actitis macularius,"Accidental, Has Bred",100-500 Records,PQ,SPOSA
Green Sandpiper,Tringa ochropus,"Scarce Breeder, Passage/Winter Visitor",,GE,GRESA
Solitary Sandpiper,Tringa solitaria,Accidental,10 - 100 Records,I.,SOLSA
Grey-tailed Tattler,Tringa brevipes,Accidental,1-10 Records,YT,
Lesser Yellowlegs,Tringa flavipes,Accidental,100-500 Records,LY,LESYE
Redshank,Tringa totanus,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",RK,REDSH
Marsh Sandpiper,Tringa stagnatilis,Accidental,100-500 Records,MD,MARSA
Wood Sandpiper,Tringa glareola,"Scarce Breeder, Passage Visitor",,OD,WOOSA
Spotted Redshank,Tringa erythropus,Passage/Winter Visitor,100-500 Birds,DR,SPORE
Greenshank,Tringa nebularia,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",GK,GRESH
Greater Yellowlegs,Tringa melanoleuca,Accidental,10 - 100 Records,LZ,GREYE
Cream-coloured Courser,Cursorius cursor,Accidental,1-10 Records,,CRCCO
Collared Pratincole,Glareola pratincola,Scarce Visitor,10 - 100 Records,KM,COLPR
Oriental Pratincole,Glareola maldivarum,Accidental,1-10 Records,GM,
Black-winged Pratincole,Glareola nordmanni,Accidental,10 - 100 Records,KW,BLWPR
Kittiwake,Rissa tridactyla,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs",KI,KITTI
Ivory Gull,Pagophila eburnea,Accidental,10 - 100 Records,IV,IVOGU
Sabine’s Gull,Xema sabini,Passage Visitor,100-500 Birds,AB,SABGU
Slender-billed Gull,Chroicocephalus genei,Accidental,10 - 100 Records,EI,SLEGU
Bonaparte’s Gull,Chroicocephalus philadelphia,Accidental,100-500 Records,ON,BONGU
Black-headed Gull,Chroicocephalus ridibundus,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs",BH,BLHGU
Little Gull,Hydrocoloeus minutus,"Scarce Breeder, Passage/Winter Visitor",,LU,LITGU
Ross’s Gull,Rhodostethia rosea,Accidental,10 - 100 Records,QG,ROSGU
Laughing Gull,Leucophaeus atricilla,Accidental,100-500 Records,LF,LAUGU
Franklin’s Gull,Leucophaeus pipixcan,Accidental,10 - 100 Records,FG,FRAGU
Audouin's Gull,Ichthyaetus audouinii,Accidental,1-10 Records,,
Mediterranean Gull,Ichthyaetus melanocephalus,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Pairs,MU,MEDGU
Great Black-headed Gull,Ichthyaetus ichthyaetus,Not Recorded since 1859,,,GBHGU
Common Gull,Larus canus,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",CM,COMGU
Ring-billed Gull,Larus delawarensis,Scarce Visitor,10 - 100 Birds,IN,RIBGU
Great Black-backed Gull,Larus marinus,"Resident Breeder, Winter Visitor","10,000 - 100,000 Pairs",GB,GBBGU
Glaucous-winged Gull,Larus glaucescens,Accidental,1-10 Records,,GLWGU
Glaucous Gull,Larus hyperboreus,Winter Visitor,100-500 Birds,GZ,GLAGU
Iceland Gull,Larus glaucoides,Winter Visitor,100-500 Birds,IG,ICEGU
Herring Gull,Larus argentatus,"Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs",HG,HERGU
American Herring Gull,Larus smithsonianus,Accidental,10 - 100 Records,,
Caspian Gull,Larus cachinnans,Scarce Visitor,100-500 Birds,YC,CASGU
Yellow-legged Gull,Larus michahellis,"Scarce Breeder, Passage/Winter Visitor",500 - 1000 Birds,YG,YELGU
Slaty-backed Gull,Larus schistisagus,Accidental,1-10 Records,,
Lesser Black-backed Gull,Larus fuscus,"Migrant/Resident Breeder, Passage Visitor","100,000 - 500,000 Pairs",LB,LBBGU
Gull-billed Tern,Gelochelidon nilotica,"Scarce Visitor, Has Bred",100-500 Records,TG,GUBTE
Caspian Tern,Hydroprogne caspia,Accidental,100-500 Records,CJ,CASTE
Royal Tern,Thalasseus maximus,Accidental,1-10 Records,QT,ROYTE
Lesser Crested Tern,Thalasseus bengalensis,Accidental,1-10 Records,TF,LECTE
Sandwich Tern,Thalasseus sandvicensis,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs",TE,SANTE
Cabot's Tern,Thalasseus acuflavidus,Accidental,1-10 Records,,
Elegant Tern,Thalasseus elegans,Accidental,1-10 Records,,ELETE
Little Tern,Sternula albifrons,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs",AF,LITTE
Least Tern,Sternula antillarum,Accidental,1-10 Records,,
Aleutian Tern,Onychoprion aleuticus,Accidental,1-10 Records,,ALETE
Bridled Tern,Onychoprion anaethetus,Accidental,10 - 100 Records,,BRITE
Sooty Tern,Onychoprion fuscatus,Accidental,10 - 100 Records,,SOOTE
Roseate Tern,Sterna dougallii,"Migrant Breeder, Passage Visitor",10 - 100 Pairs,RS,ROSTE
Common Tern,Sterna hirundo,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs",CN,COMTE
Arctic Tern,Sterna paradisaea,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs",AE,ARCTE
Forster’s Tern,Sterna forsteri,Accidental,10 - 100 Records,FO,FORTE
Whiskered Tern,Chlidonias hybrida,Accidental,100-500 Records,WD,WHKTE
White-winged Black Tern,Chlidonias leucopterus,Scarce Visitor,10 - 100 Birds,WJ,WWBTE
Black Tern,Chlidonias niger,"Former Breeder, Passage Visitor",,BJ,BLATE
Great Skua,Stercorarius skua,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs",NX,GRESK
Pomarine Skua,Stercorarius pomarinus,Passage Visitor,,PK,POMSK
Arctic Skua,Stercorarius parasiticus,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs",AC,ARCSK
Long-tailed Skua,Stercorarius longicaudus,"Passage Visitor, Has Bred",,OG,LOTSK
Little Auk,Alle alle,Passage/Winter Visitor,,LK,LITAU
Brünnich’s Guillemot,Uria lomvia,Accidental,10 - 100 Records,TZ,BRUGU
Guillemot,Uria aalge,"Migrant/Resident Breeder, Winter Visitor","500,000 - 1 million Pairs",GU,GUILL
Razorbill,Alca torda,"Migrant/Resident Breeder, Winter Visitor","100,000 - 500,000 Pairs",RA,RAZOR
Great Auk,Pinguinus impennis,"Extinct (1844) Former Breeder, Last recorded 1840",,,
Black Guillemot,Cepphus grylle,Resident Breeder,"10,000 - 100,000 Pairs",TY,BLAGU
Long-billed Murrelet,Brachyramphus perdix,Accidental,1-10 Records,,
Ancient Murrelet,Synthliboramphus antiquus,Accidental,1-10 Records,,
Puffin,Fratercula arctica,"Migrant/Resident Breeder, Passage/Winter Visitor","500,000 - 1 million Pairs",PU,PUFFI
Tufted Puffin,Fratercula cirrhata,Accidental,1-10 Records,,
Red-billed Tropicbird,Phaethon aethereus,Accidental,1-10 Records,,
Ascension Frigatebird,Fregata aquila,Accidental,1-10 Records,,
Red-throated Diver,Gavia stellata,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",RH,RETDI
Black-throated Diver,Gavia arctica,"Migrant/Resident Breeder, Winter Visitor",100-500 Pairs,BV,BLTDI
Pacific Diver,Gavia pacifica,Accidental,1-10 Records,KD,
Great Northern Diver,Gavia immer,"Scarce Breeder, Winter Visitor","1,000 - 10,000 Birds",ND,GRNDI
White-billed Diver,Gavia adamsii,Scarce Visitor,10 - 100 Birds,WV,WHBDI
Wilson’s Storm Petrel,Oceanites oceanicus,Scarce Visitor,10 - 100 Birds,,WILPE
White-faced Storm Petrel,Pelagodroma marina,Not Recorded since 1897,,,WHFPE
Black-browed Albatross,Thalassarche melanophris,Accidental,10 - 100 Records,AA,BLBAL
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Accidental,1-10 Records,,YENAL
Storm Petrel,Hydrobates pelagicus,Migrant Breeder,"10,000 - 100,000 Nests",TM,STOPE
Swinhoe’s Storm Petrel,Oceanodroma monorhis,Accidental,1-10 Records,,SWSPE
Leach’s Petrel,Oceanodroma leucorhoa,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs",TL,LEAPE
Fulmar,Fulmarus glacialis,"Migrant/Resident Breeder, Passage Visitor","500,000 - 1 million Pairs",F.,FULMA
Black-capped Petrel,Pterodroma hasitata,Accidental,1-10 Records,,BLCPE
Scopoli's Shearwater,Calonectris diomedea,Accidental,1-10 Records,,
Cory’s Shearwater,Calonectris borealis,Scarce Migrant,500 - 1000 Birds,CQ,CORSH
Sooty Shearwater,Ardenna grisea,Passage Visitor,,OT,SOOSH
Great Shearwater,Ardenna gravis,Scarce Migrant,,GQ,GRTSH
Manx Shearwater,Puffinus puffinus,Migrant Breeder,"100,000 - 500,000 Pairs",MX,MANSH
Yelkouan Shearwater,Puffinus yelkouan,Accidental,1-10 Records,,
Balearic Shearwater,Puffinus mauretanicus,Passage Visitor,"1,000 - 10,000 Birds",YQ,BALSH
Barolo Shearwater,Puffinus baroli,Accidental,10 - 100 Records,MV,LITSH
Black Stork,Ciconia nigra,Accidental,100-500 Records,OS,BLAST
White Stork,Ciconia ciconia,"Former Breeder, Scarce Visitor",10 - 100 Birds,OR,WHIST
Magnificent Frigatebird,Fregata magnificens,Accidental,1-10 Records,,
Gannet,Morus bassanus,"Migrant/Resident Breeder, Passage Visitor","100,000 - 500,000 Nests",GX,GANNE
Red-footed Booby,Sula sula,Accidental,1-10 Records,,
Double-crested Cormorant,Phalacrocorax auritus,Accidental,1-10 Records,,
Shag,Phalacrocorax aristotelis,Resident Breeder,"10,000 - 100,000 Pairs",SA,SHAG.
Cormorant,Phalacrocorax carbo,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",CA,CORMO
Glossy Ibis,Plegadis falcinellus,Scarce Visitor,10 - 100 Birds,IB,GLOIB
Spoonbill,Platalea leucorodia,"Former, but now Scarce, Breeder, Scarce Visitor",10 - 100 Birds,NB,SPOON
Bittern,Botaurus stellaris,"Resident Breeder, Winter Visitor",10 - 100 Males,BI,BITTE
American Bittern,Botaurus lentiginosus,Accidental,1-10 Records,AM,AMEBI
Little Bittern,Ixobrychus minutus,"Accidental, Has Bred",100-500 Records,LL,LITBI
Night Heron,Nycticorax nycticorax,"Escaped Breeder, Scarce Visitor",10 - 100 Birds,NT,NIGHE
Green Heron,Butorides virescens,Accidental,1-10 Records,HR,GRBHE
Squacco Heron,Ardeola ralloides,Accidental,10 - 100 Records,QH,SQUHE
Chinese Pond Heron,Ardeola bacchus,Accidental,1-10 Records,,
